task_id,n_sources,comparison_level,method,method_display,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
gue_human_tf_0,53,Attention fusion,reliability_attention,Reliability attention,0.921916,0.9057869975529924,0.7017197510494805,0.845,0.845,0.936,0.754,0.5121832715905488
gue_mouse_0,49,Attention fusion,reliability_attention,Reliability attention,0.8672519433013259,0.8698883642271977,0.5976984744281221,0.7975308641975308,0.7975308641975309,0.7506172839506173,0.8444444444444444,0.5031525059091105
gue_prom_300_all,53,Attention fusion,reliability_attention,Reliability attention,0.9780399945212984,0.976758345495778,0.8519592874808641,0.9258445945945946,0.9257510386705016,0.9395973154362416,0.911904761904762,0.5201166553089731
gue_prom_core_all,53,Attention fusion,reliability_attention,Reliability attention,0.9098553609778012,0.9110248518142614,0.663186343821968,0.8315878378378379,0.8315934557593554,0.8295148247978437,0.8336720867208672,0.4800742115736762
ipromoter_hs_notata,53,Attention fusion,reliability_attention,Reliability attention,0.8922580369739024,0.892067582221137,0.6179575281675077,0.808978646771289,0.8089787947592011,0.8086911802519928,0.8092664092664092,0.4978965676021959
ipromoter_hs_tata,53,Attention fusion,reliability_attention,Reliability attention,0.9524439601494396,0.952206216706628,0.7451359748264582,0.8724373576309795,0.8724055624740557,0.8863636363636364,0.8584474885844748,0.4882954199075953
ipromoter_mm_notata,53,Attention fusion,reliability_attention,Reliability attention,0.9302423168958324,0.9297266511176308,0.707575038931166,0.8537875252760927,0.8537876906586066,0.8536357986326911,0.853939582684522,0.4907252927437972
ipromoter_mm_tata,53,Attention fusion,reliability_attention,Reliability attention,0.9664367816091954,0.9689294278356484,0.7965443619947751,0.8982494529540481,0.8980747126436781,0.9094827586206896,0.8866666666666667,0.5167134924035524
snnrice6ma_rice_chen,53,Attention fusion,reliability_attention,Reliability attention,0.8437571200729096,0.8589762632773268,0.4877915854109967,0.7433962264150943,0.7435064935064934,0.7727272727272727,0.7142857142857143,0.4717804729684188
gue_emp_H3,53,Matched architecture,source_self_attention,Source self-attention (Q=K=V),0.9544688598918264,0.9509300268981888,0.7617645697222611,0.8804275217100869,0.8801922493350708,0.9072847682119204,0.8530997304582211,0.4463441142439843
gue_human_tf_0,53,Matched architecture,source_self_attention,Source self-attention (Q=K=V),0.923516,0.90923430260939,0.6776998243081634,0.831,0.831,0.938,0.724,0.4863736428320408
gue_mouse_0,49,Matched architecture,source_self_attention,Source self-attention (Q=K=V),0.884517604023777,0.8995830972050007,0.6098431817073582,0.7925925925925926,0.7925925925925926,0.6518518518518519,0.9333333333333332,0.5372631728649141
gue_prom_300_all,53,Matched architecture,source_self_attention,Source self-attention (Q=K=V),0.9866368762270008,0.9871902361993936,0.8817510836968747,0.9408783783783784,0.9408711135460897,0.9419463087248322,0.939795918367347,0.4908023774623877
gue_prom_core_all,53,Matched architecture,source_self_attention,Source self-attention (Q=K=V),0.9256186928867268,0.9263778229131044,0.6997044922999074,0.8498310810810811,0.8498130921336168,0.8564690026954178,0.8431571815718157,0.4766421467065813
ipromoter_hs_notata,53,Matched architecture,source_self_attention,Source self-attention (Q=K=V),0.929328307111799,0.9331889037720592,0.6951612792002247,0.8475688191407255,0.847566594622393,0.8518899460015428,0.8432432432432433,0.5033956110477448
ipromoter_hs_tata,53,Matched architecture,source_self_attention,Source self-attention (Q=K=V),0.9878320880033208,0.9886331455311164,0.877447704841623,0.938496583143508,0.938532586135326,0.9227272727272728,0.954337899543379,0.5802321565151215
ipromoter_mm_notata,53,Matched architecture,source_self_attention,Source self-attention (Q=K=V),0.9527847581118276,0.954584359383367,0.7600983832667453,0.8780525742728262,0.8781079798912184,0.8272218769422002,0.9289940828402368,0.5659667575359344
ipromoter_mm_tata,53,Matched architecture,source_self_attention,Source self-attention (Q=K=V),0.9909913793103448,0.9910941385616197,0.9103329435451812,0.9551422319474836,0.9552155172413792,0.9504310344827588,0.96,0.5260908007621765
snnrice6ma_rice_chen,53,Matched architecture,source_self_attention,Source self-attention (Q=K=V),0.8708703577124629,0.8658816236209534,0.5838084951365223,0.7886792452830189,0.7883914331282753,0.7121212121212122,0.8646616541353384,0.6157707977294924
gue_emp_H3,53,Matched architecture,anchor_query_qkv,Anchor-query cross-attention,0.95459024294461,0.9507848142908576,0.765064075167482,0.8824315297261189,0.8823066350118706,0.8966887417218543,0.8679245283018868,0.4716190171241761
gue_human_tf_0,53,Matched architecture,anchor_query_qkv,Anchor-query cross-attention,0.923948,0.9095879490715254,0.6881866079362604,0.837,0.837,0.938,0.736,0.4925919401645661
gue_mouse_0,49,Matched architecture,anchor_query_qkv,Anchor-query cross-attention,0.8842371589696694,0.899157879683088,0.6178457140585827,0.7987654320987654,0.7987654320987654,0.671604938271605,0.925925925925926,0.5186451491713524
gue_prom_300_all,53,Matched architecture,anchor_query_qkv,Anchor-query cross-attention,0.9866655252705108,0.9872283609628408,0.8801077663660001,0.9400337837837838,0.9399933799022964,0.945973154362416,0.9340136054421768,0.4544098600745203
gue_prom_core_all,53,Matched architecture,anchor_query_qkv,Anchor-query cross-attention,0.9255102073426396,0.9263455807795912,0.6948362127784321,0.8472972972972973,0.8472587454985062,0.8615229110512129,0.8329945799457995,0.4667936712503437
ipromoter_hs_notata,53,Matched architecture,anchor_query_qkv,Anchor-query cross-attention,0.9294242778943216,0.9333340132385038,0.6992136802038598,0.8494983277591973,0.8495046418420036,0.8372332219079455,0.8617760617760618,0.5268077683448792
