task_id,method,n_sources,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
ipromoter_mm_notata,best_primitive_head,53,0.8775520908839816,0.8766809457095059,0.5934048450320372,0.7967024420594183,0.796701015523278,0.798011187072716,0.79539084397384,0.494756817817688
ipromoter_mm_notata,best_standalone_source,53,0.9328959030089816,0.9338929003888622,0.7098151731300903,0.8523876186032042,0.8524519698929585,0.793349906774394,0.9115540330115228,0.6982421875
ipromoter_mm_notata,reliability_attention,53,0.9302423168958324,0.9297266511176308,0.707575038931166,0.8537875252760927,0.8537876906586066,0.8536357986326911,0.853939582684522,0.4907252927437972
ipromoter_mm_notata,family_best_weighted_pool,53,0.9352212204047654,0.9355870751893988,0.7213911841675399,0.8601648778970291,0.860194011457275,0.8334369173399627,0.8869511055745873,0.5283254426193448
ipromoter_mm_notata,correlation_pruned_weighted_pool,53,0.9414591002533824,0.9417724799113136,0.7353361724167177,0.867631046819101,0.8676229299570173,0.875077688004972,0.8601681719090626,0.466542417626075
ipromoter_mm_notata,choquet_integral,53,0.9443834209587576,0.9446136918588048,0.7488167083686973,0.8741639446259138,0.8741832718829521,0.8564325668116842,0.8919339769542198,0.548107742485416
ipromoter_mm_notata,raw_score_logistic_l2,53,0.9518278238319604,0.953457883404823,0.7623386026854552,0.8808523876186032,0.8808742632099609,0.8607830950901181,0.9009654313298038,0.5598102259635926
ipromoter_mm_notata,aligned_score_logistic_l2,53,0.953557089626844,0.9551344910024272,0.7637580461688227,0.8816301135479857,0.8816494496563341,0.8638906152889994,0.8994082840236687,0.5412670731544496
ipromoter_mm_notata,sparse_aligned_control,53,0.9533947456488427,0.9549893827377676,0.7673863263512407,0.8836522009643801,0.8836598536068622,0.8766314481044126,0.8906882591093117,0.5130396294593812
ipromoter_mm_notata,mucff,53,0.953590913305122,0.9553579100141768,0.7692163569711357,0.8845854720796391,0.8845910935045183,0.8794282162834058,0.8897539707256307,0.5089743459224702
ipromoter_mm_tata,best_source,53,0.981111111111111,0.9829723754336852,0.8635190277139877,0.9310722100656456,0.9314750957854404,0.9051724137931034,0.9577777777777776,0.6193242540955541
ipromoter_mm_tata,probability_mean,53,0.9634626436781608,0.9658875918019112,0.7986609978132699,0.899343544857768,0.899353448275862,0.8987068965517241,0.9,0.5333488890556134
ipromoter_mm_tata,probability_median,53,0.959317528735632,0.9625354597784274,0.7553352490421456,0.8774617067833698,0.8776676245210728,0.8642241379310345,0.8911111111111111,0.5299999713897705
ipromoter_mm_tata,rank_mean,53,0.952286877394636,0.9549956577419968,0.7483412493161928,0.8741794310722101,0.8742001915708812,0.8728448275862069,0.8755555555555555,0.5071794825006386
ipromoter_mm_tata,majority_vote,53,0.9517480842911876,0.9501228899737312,0.752668554694814,0.8763676148796499,0.8762883141762452,0.8814655172413793,0.8711111111111111,0.5471698113207547
ipromoter_mm_tata,oof_skill_linear_pool,53,0.9664367816091954,0.9689294278356484,0.7965443619947751,0.8982494529540481,0.8980747126436781,0.9094827586206896,0.8866666666666667,0.5167134924033977
ipromoter_mm_tata,oof_skill_logarithmic_pool,53,0.9664128352490422,0.9691147313170406,0.7987083388475124,0.899343544857768,0.8991858237547892,0.9094827586206896,0.8888888888888888,0.5367186974710392
