analysis_group,task_id,condition,replicate,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity
primary,ipromoter_hs_notata,random_missing_20,12,0.9052429599999999,0.9220930033725369,0.4821859660527037,0.7154,0.7154,0.94,0.4908
primary,ipromoter_hs_notata,random_missing_20,13,0.9009158400000001,0.9160748844415644,0.46892062399453116,0.709,0.709,0.9356,0.4824
primary,ipromoter_hs_notata,random_missing_20,14,0.7844903999999999,0.782123636649224,0.2404055289038913,0.5718,0.5718,0.9728,0.1708
primary,ipromoter_hs_notata,random_missing_20,15,0.90117168,0.9196071698043915,0.46180136512963976,0.7042,0.7041999999999999,0.9376,0.4708
primary,ipromoter_hs_notata,random_missing_20,16,0.90602424,0.9214001943944119,0.48675470683637556,0.7168,0.7168,0.944,0.4896
primary,ipromoter_hs_notata,random_missing_20,17,0.8830676,0.8830731346738953,0.5548213991171135,0.7684,0.7684,0.8948,0.642
primary,ipromoter_hs_notata,random_missing_20,18,0.8887296800000001,0.8955119190357357,0.5578038591661649,0.7694,0.7694000000000001,0.8988,0.64
primary,ipromoter_hs_notata,random_missing_20,19,0.8949483199999999,0.899484140462709,0.56531790818914,0.7726,0.7726,0.9048,0.6404
primary,ipromoter_hs_notata,random_missing_20,20,0.90283672,0.9198249127514638,0.4656595480768587,0.7062,0.7061999999999999,0.9384,0.474
primary,ipromoter_hs_notata,random_missing_40,1,0.83288048,0.8393959970026212,0.16634725644712176,0.5314,0.5314,0.9944,0.0684
primary,ipromoter_hs_notata,random_missing_40,2,0.8893932,0.8930188896883382,0.5792747280231685,0.7828,0.7827999999999999,0.8908,0.6748
primary,ipromoter_hs_notata,random_missing_40,3,0.76379088,0.7860312913051888,0.13251120634274982,0.519,0.519,0.998,0.04
primary,ipromoter_hs_notata,random_missing_40,4,0.80774176,0.8053862020571649,0.1616953095060651,0.5288,0.5288,0.996,0.0616
primary,ipromoter_hs_notata,random_missing_40,5,0.9004136800000001,0.9098095248007048,0.5908528188263175,0.7884,0.7884,0.8968,0.68
primary,ipromoter_hs_notata,random_missing_40,6,0.8227916799999999,0.8218017514834494,0.1853679129674139,0.5404,0.5404,0.9904,0.0904
primary,ipromoter_hs_notata,random_missing_40,7,0.90181624,0.9225762385215701,0.4675533263373443,0.7082,0.7081999999999999,0.9356,0.4808
primary,ipromoter_hs_notata,random_missing_40,8,0.8536232799999999,0.8734433053204176,0.210786165480782,0.5462,0.5462,0.9956,0.0968
primary,ipromoter_hs_notata,random_missing_40,9,0.9056782400000001,0.9210262156931734,0.5027426499827528,0.729,0.7290000000000001,0.9352,0.5228
