run_task_id,evaluation_task,stage,n_sources,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,oof_auc,threshold,n_test
snnrice6ma_rice_chen__fold00,snnrice6ma_rice_chen,foundation_interactions,33,0.9269111570247934,0.9215430246192594,0.6572335375382283,0.8181818181818182,0.8181818181818182,0.9431818181818182,0.6931818181818182,0.8896573053770022,0.38295530319213866,176
snnrice6ma_rice_chen__fold00,snnrice6ma_rice_chen,local_foundation_fusion,39,0.9279442148760331,0.9231798924840979,0.6755622278080391,0.8238636363636364,0.8238636363636364,0.9659090909090909,0.6818181818181818,0.8888649755127029,0.36019745588302615,176
snnrice6ma_rice_chen__fold00,snnrice6ma_rice_chen,rc_grammar_1,40,0.928073347107438,0.9232935691959346,0.6614378277661477,0.8181818181818182,0.8181818181818181,0.9545454545454546,0.6818181818181818,0.8888984542393633,0.37897597581148157,176
snnrice6ma_rice_chen__fold00,snnrice6ma_rice_chen,rc_grammar_2,41,0.9278150826446281,0.9233681934301771,0.6566725339323228,0.8125,0.8125,0.9659090909090909,0.6590909090909091,0.8893830986634015,0.3378568920493126,176
snnrice6ma_rice_chen__fold00,snnrice6ma_rice_chen,rc_grammar_3,42,0.9276859504132231,0.9221191575259923,0.6601627748790566,0.8238636363636364,0.8238636363636364,0.9204545454545454,0.7272727272727273,0.8914444316906438,0.46702601581811914,176
snnrice6ma_rice_chen__fold00,snnrice6ma_rice_chen,biophysical_grammar,43,0.9275568181818182,0.9219936668377973,0.6653056282246291,0.8295454545454546,0.8295454545454546,0.8977272727272727,0.7613636363636364,0.8909868890929497,0.5339499235153199,176
snnrice6ma_rice_chen__fold00,snnrice6ma_rice_chen,position_aware_grammar,44,0.9278150826446281,0.9221356153632553,0.6862635163075163,0.8409090909090909,0.8409090909090908,0.8977272727272727,0.7840909090909091,0.8906600729517397,0.5545296931266785,176
snnrice6ma_rice_chen__fold00,snnrice6ma_rice_chen,reliability_routed_l2,44,0.9258780991735537,0.9193755225553435,0.6675934204983898,0.8295454545454546,0.8295454545454546,0.9090909090909091,0.75,0.8903539817365576,0.5091306295990944,176
snnrice6ma_rice_chen__fold00,snnrice6ma_rice_chen,mucff_dual_decision,44,0.9262654958677685,0.9204496972133698,0.6653056282246291,0.8295454545454546,0.8295454545454546,0.8977272727272727,0.7613636363636364,0.8920661794714825,0.5428962360451172,176
snnrice6ma_rice_chen__fold01,snnrice6ma_rice_chen,base_evidence,28,0.9110278925619835,0.9218594166548462,0.625040357730969,0.8125,0.8125,0.8068181818181818,0.8181818181818182,0.8875258264462811,0.545730485022068,176
snnrice6ma_rice_chen__fold01,snnrice6ma_rice_chen,foundation_interactions,33,0.9097365702479339,0.9195879745012226,0.6142712695109416,0.8068181818181818,0.8068181818181819,0.7840909090909091,0.8295454545454546,0.8869471227425771,0.5733652153611183,176
snnrice6ma_rice_chen__fold01,snnrice6ma_rice_chen,local_foundation_fusion,39,0.9084452479338844,0.9185828385461017,0.6363636363636364,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8880216304458728,0.47255962014198305,176
snnrice6ma_rice_chen__fold01,snnrice6ma_rice_chen,rc_grammar_1,40,0.9070247933884298,0.91793297311906,0.6137949055234262,0.8068181818181818,0.8068181818181819,0.7954545454545454,0.8181818181818182,0.888825119885726,0.5195332768559455,176
snnrice6ma_rice_chen__fold01,snnrice6ma_rice_chen,rc_grammar_2,41,0.9070247933884298,0.9179164903548322,0.625040357730969,0.8125,0.8125,0.8181818181818182,0.8068181818181818,0.8892571548821548,0.4745721173286438,176
snnrice6ma_rice_chen__fold01,snnrice6ma_rice_chen,rc_grammar_3,42,0.9079287190082646,0.918372684986441,0.5915204817512771,0.7954545454545454,0.7954545454545454,0.7727272727272727,0.8181818181818182,0.8887677277828794,0.5405187442898751,176
snnrice6ma_rice_chen__fold01,snnrice6ma_rice_chen,biophysical_grammar,43,0.9083161157024794,0.9188721572412162,0.5915204817512771,0.7954545454545454,0.7954545454545454,0.7727272727272727,0.8181818181818182,0.8880551091725334,0.5437396717071533,176
snnrice6ma_rice_chen__fold01,snnrice6ma_rice_chen,position_aware_grammar,44,0.9089617768595041,0.9214436509071072,0.6481039922301567,0.8238636363636364,0.8238636363636364,0.8409090909090909,0.8068181818181818,0.8884185924905622,0.4427728579938412,176
